long,lat,id,nombre,categoria,cocina,ambientacion,telefono,mail,horario,calle_nombre,calle_altura,calle_cruce,direccion_completa,barrio,comuna,codigo_postal,codigo_postal_argentino
"-584,367,929","-345,674,189",209,HENRY J. BEAN'S,RESTAURANTE,AMERICANA,AMERICANO,477 9172,www.henryjbeens.net,,ARCE,907,,ARCE 907,Palermo,14,1426,C1426BSO
"-583,708,984","-3,460,067",2302,HENRY'S,CAFE,MINUTAS,CLASICO PORTEÑO,4313 6003,lodehenry@hotmail.com,lunes a sábado de 8 a 1,TUCUMAN,269,,TUCUMAN 269,San Nicolas,1,1049,C1049AAE
"-5,836,623","-346,108,931",1605,HEREDERO,RESTAURANTE,,,4342 8689,,,MOREAU DE JUSTO ALICIA,1140,,"MOREAU DE JUSTO, ALICIA AV. 1140",Puerto Madero,1,1107,C1107AAX
"-584,184,842","-345,835,314",210,HERMANN,RESTAURANTE,PORTEÃ‘A,CLASICO PORTEÑO,4832 1929,,,SANTA FE,3902,,SANTA FE AV. 3902,Palermo,14,1425,C1425BHO
"-584,403,199","-345,810,758",211,HILARIO,RESTAURANTE,PIZZERIA,BOHEMIO,4778 9242,,,HONDURAS,6000,,HONDURAS 6000,Palermo,14,1414,C1414BNL
"-583,753,933","-346,092,618",1413,HIP BAR,,INTERNACIONAL,IRLANDES,4342 0234,hipbar@fibertel.com.ar,,YRIGOYEN HIPOLITO,640,,"YRIGOYEN, HIPOLITO 640",Monserrat,1,1086,C1086AAJ
"-584,093,613","-346,174,189",780,HIPOCRATES,RESTAURANTE,MINUTAS,CLASICO PORTEÑO,4931 9818,,,URQUIZA Gral.,588,,"URQUIZA, Gral. 588",Balvanera,3,1221,C1221ADB
"-583,800,279","-346,049,104",2303,HIPOLITO,RESTAURANTE,TRADICIONAL,MODERNO,4322 0802,,lunes a viernes de 8 a 20,SARMIENTO,948,,SARMIENTO 948,San Nicolas,1,1041,C1041AAT
,,,HOLA JACOBA,Restaurante Temático,,,4833-5858,info@holajacoba.com.ar,,,,,THAMES 1801,PALERMO,14,,
"-584,022,346","-346,074,437",781,HOLANDA BAR,RESTAURANTE,SANDWICHERIA,CLASICO PORTEÑO,,,,PERON JUAN DOMINGO TTE.,2513,,"PERON, JUAN DOMINGO, TTE. GENERAL 2513",Balvanera,3,1040,C1040AAO
"-583,780,849","-34,603,981",2304,HOLLY,RESTAURANTE,MINUTAS,CLASICO PORTEÑO,4326 8112,,lunes a viernes de 9 a 18,ESMERALDA,360,,ESMERALDA 360,San Nicolas,1,1035,C1035ABH
"-583,947,788","-345,964,151",1763,HOLLY FOOD,RESTAURANTE,,,4816 2953,,,RIOBAMBA,1068,,RIOBAMBA 1068,Recoleta,2,1116,C1116ABF
"-584,420,494","-34,580,438",212,HOLLYWOOD,RESTAURANTE,INTERNACIONAL,ITALIANA,4776 6481,,,DORREGO,1874,,DORREGO 1874,Colegiales,13,1414,C1414CLN
"-584,417,341","-345,802,902",213,HOLLYWOOD ALMACEN,RESTAURANTE,INTERNACIONAL,ITALIANA,4777 4281,,,DORREGO,1879,,DORREGO 1879,Palermo,14,1414,C1414CLA
"-583,646,986","-34,600,616",1606,HONDO,RESTAURANTE,DE AUTOR,RUSTICA,4312 7762,info@hondobar.com.ar,domingo a miércoles de 12 a 1 - jueves a sábado de 12 a 2,"COSSETTINI, OLGA",240,,"COSSETTINI, OLGA 240",Puerto Madero,1,1107,C1107CCF
"-584,417,007","-346,128,594",1002,HONORIO,,PARRILLA,,4903 7486,,lunes a viernes de 20 a 00 - sábado y domingo de 20 a 00,PUEYRREDON HONORIO DR.,606,,"PUEYRREDON, HONORIO, DR. AV. 606",Caballito,6,1405,C1405BAQ
"-58,393,625","-345,889,216",1762,HOOTERS,RESTAURANTE,AMERICANA,AMERICANO,4805 2220,hooterrspar@hoters.com,,LOPEZ VICENTE,2050,,"LOPEZ, VICENTE 2050",Recoleta,2,1128,C1128ACF
"-584,999,385","-346,729,752",1300,HORIZONTE ALGO DISTINTO,RESTAURANTE,INTERNACIONAL,ALEMANA,4687 5008,,,PERON EVA,7285,,"PERON, EVA AV. 7285",Mataderos,9,1439,C1439BTK
"-584,367,937","-34,583,839",214,HOT BAR,RESTAURANTE,MINUTAS,MODERNO,4772 5014,,,HONDURAS,5640,,HONDURAS 5640,Palermo,14,1414,C1414BNF
"-583,749,315","-345,974,393",2000,HOTEL ASPEN TOWERS,RESTAURANTE,INTERNACIONAL,MODERNO,4312 9172,,lunes a sábado de 7 a 23.30,PARAGUAY,557,,PARAGUAY 557,Retiro,1,1057,C1057AAE
"-583,852,176","-345,871,088",2001,HOTEL DAZZLER,RESTAURANTE,INTERNACIONAL,MODERNO,4816 5005,,lunes a domingo de 19 a 00,DEL LIBERTADOR,902,,DEL LIBERTADOR AV. 902,Recoleta,2,1001,C1001ABW
"-583,826,291","-345,984,757",2002,HOTEL PRESIDENTE,RESTAURANTE,INTERNACIONAL,MODERNO,4816 2222,reserva@hotelpresidente.com.ar,,CERRITO,850,,CERRITO 850,Retiro,1,1010,C1010AAR
"-583,944,373","-346,057,738",782,HOTEL SARMIENTO PALACE,RESTAURANTE,MINUTAS,MODERNO,4953 3404,www.hotelsarmiento.com.ar,,SARMIENTO,1953,,SARMIENTO 1953,Balvanera,3,1044,C1044AAC
"-583,919,967","-346,070,232",2306,HOTEL SAVOY,RESTAURANTE,MEDITERRANEA,CLASICO PORTEÑO,4370 8000,,,CALLAO,181,,CALLAO AV. 181,San Nicolas,1,1022,C1022AAB
"-583,862,943","-346,005,114",2307,HOTEL VIAMONTE SUITES,RESTAURANTE,TRADICIONAL,MODERNO,4371 9993,,lunes a viernes de 7 a 23,VIAMONTE,1373,,VIAMONTE 1373,San Nicolas,1,1053,C1053ACA
"-583,734,947","-346,055,639",2309,HOYD'S,RESTAURANTE,MINUTAS,MODERNO,4394 1305,,,PERON JUAN DOMINGO TTE.,489,,"PERON, JUAN DOMINGO, TTE. GENERAL 489",San Nicolas,1,1038,C1038AAI
"-583,760,586","-346,520,393",911,HUGO CAFE,BAR,INTERNACIONAL,MODERNO,4302 0651,,,VIEYTES,1603,,VIEYTES 1603,Barracas,4,1275,C1275AGQ
"-584,839,832","-346,252,355",1216,HUSH BAR,CONFITERIA,FAST FOOD,MODERNO,154990008,,,GAONA,4296,,GAONA AV. 4296,Floresta,10,1407,C1407FIR
,,,I LATINA,Restaurante,,,4857-9095,restaurante@ilatinabuenosaires.com,,,,,MURILLO 725,VILLA CRESPO,15,,
"-583,982,445","-345,893,753",1769,I' KATENACIO,RESTAURANTE,INTERNACIONAL,MODERNO,4807 1955,,,LARREA,1541,,LARREA 1541,Recoleta,2,1117,C1117ABO
"-583,832,978","-346,092,602",1412,IBERIA BAR,CAFE,MINUTAS,MODERNO,4381 6300,,,DE MAYO,1196,,DE MAYO AV. 1196,Monserrat,1,1085,C1085ABO
"-583,866,982","-345,992,028",2003,IBERICO,RESTAURANTE,INTERNACIONAL,MODERNO,4812 2189,,,CORDOBA,1399,,CORDOBA AV. 1399,Retiro,1,1055,C1055AAD
"-584,593,407","-346,052,311",1005,IBIZA,,MINUTAS,MODERNO,4585 7265,,,JUSTO JUAN B.,4098,,"JUSTO, JUAN B. AV. 4098",Caballito,6,1416,C1416DJU
"-583,572,066","-346,383,502",1240,IDEALE,RESTAURANTE,PARRILLA,CLASICO PORTEÑO,,eltanoale1978@hotmail.com,,DON PEDRO DE MENDOZA,1605,,DON PEDRO DE MENDOZA AV. 1605,Boca,4,1169,C1169AAA
"-584,019,676","-345,865,738",215,IL BACO,RESTAURANTE,PIZZERIA,,4806 9992,,lunes a domingo mediodía y noche,AUSTRIA,2295,,AUSTRIA 2295,Recoleta,2,1425,C1425EGK
"-584,019,676","-345,865,738",1764,IL BACO,RESTAURANTE,MINUTAS,CLASICO PORTEÑO,4806 9992,,lunes a sábado de 7 a 00,AUSTRIA,2295,,AUSTRIA 2295,Recoleta,2,1425,C1425EGK
"-584,125,869","-345,921,093",1765,IL CAMMINETTO,RESTAURANTE,INTERNACIONAL,MODERNO,4822 2480,,lunes a viernes de 11.30 a 16 y de 19.30 a 2,DIAZ CNEL.,1651,,"DIAZ, CNEL. AV. 1651",Recoleta,2,1425,C1425DQC
"-583,764,378","-346,011,413",2308,IL FRATELLO,RESTAURANTE,MINUTAS,MODERNO,4322 1030,www.ilfratello.go.to,,TUCUMAN,688,,TUCUMAN 688,San Nicolas,1,1049,C1049AAN
"-583,870,021","-34,595,641",2005,IL FUME,RESTAURANTE,MINUTAS,MODERNO,4812 1943,,lunes a domingo de 9 a 22.30,SANTA FE,1399,,SANTA FE AV. 1399,Retiro,1,1059,C1059ABH
"-583,802,663","-346,035,449",2311,IL GATO TRATTORIAS,RESTAURANTE,ITALIANA,ITALIANA,4393 5034,obelisco@ilgatto.com.ar,,CORRIENTES,959,,CORRIENTES AV. 959,San Nicolas,1,1043,C1043AAJ
"-583,846,776","-346,038,019",2310,IL GATO TRATTORIAS,RESTAURANTE,ITALIANA,ITALIANA,4382 6323,tirbunales@ilgatto.com.ar,lunes a domingo de 7 a 00,CORRIENTES,1269,,CORRIENTES AV. 1269,San Nicolas,1,1043,C1043AAM
"-58,381,982","-345,901,939",2852,Il Gatto La Recova,RESTAURANTE,ITALIANA,CLASICO PORTEÑO,4322-0826,,lunes a lunes de 20 a 1,Posadas,1052,,POSADAS 1052,Retiro,1,1011,C1011ABB
"-584,102,677","-345,866,848",216,IL GATTO TRATTORIAS,RESTAURANTE,ITALIANA,ITALIANA,4828 0202,beruti@ilgatto.com.ar,,BERUTI,3391,,BERUTI 3391,Palermo,14,1425,C1425BBQ
"-583,662,235","-346,120,302",1607,IL GATTO TRATTORIAS,RESTAURANTE,ITALIANA,ITALIANA,4345 6565,madero@ilgatto.com.ar,,MOREAU DE JUSTO ALICIA,1190,,"MOREAU DE JUSTO, ALICIA AV. 1190",Puerto Madero,1,1107,C1107AAX
"-583,931,394","-345,952,182",1767,IL GATTO TRATTORIAS,,ITALIANA,,4813 7551,callao@ilgatto.com.ar,,CALLAO,1165,,CALLAO AV. 1165,Recoleta,2,1023,C1023AAE
"-583,755,586","-345,988,033",2312,IL GRAN CAFE,RESTAURANTE,MINUTAS,MODERNO,4326 5008,,lunes a domingo de 10 a 18,CORDOBA,602,,CORDOBA AV. 602,San Nicolas,1,1054,C1054AAS
"-584,371,955","-345,663,277",217,IL GRAN CARUSO,RESTAURANTE,ITALIANA,ITALIANA,4777 6633,,,GOROSTIAGA,1720,,GOROSTIAGA 1720,Palermo,14,1426,C1426CTF
"-583,639,631","-346,065,718",1609,IL GRAN CARUSSO,RESTAURANTE,ITALIANA,RUSTICA,4515 0707,,,"COSSETTINI, OLGA",799,,"COSSETTINI, OLGA 799",Puerto Madero,1,1107,C1107CDA
"-583,816,141","-345,941,819",2004,IL GUFO CAFFE,RESTAURANTE,,,,,,ARENALES,1002,,ARENALES 1002,Retiro,1,1061,C1061AAH
"-583,913,629","-345,889,225",1766,IL MAGO,RESTAURANTE,PIZZERIA,JUEGOS DE AZAR,4801 1844,,,GUIDO,1936,,GUIDO 1936,Recoleta,2,1119,C1119AAD
"-584,550,518","-345,738,611",588,IL SILENZIO,RESTAURANTE,ITALIANA,CLASICO PORTEÑO,4553 7211,,lunes y miércoles a domingo de 12 a 16 y de 20 al cierre,LORETO Virrey,3093,,"LORETO, Virrey 3093",Colegiales,13,1426,C1426DYE
"-585,181,249","-346,391,985",1270,ILLIMANI,RESTAURANTE,BOLIVIANA,,,,,RIVADAVIA,10960,,RIVADAVIA AV. 10960,Liniers,9,1408,C1408AAW
"-584,033,671","-345,940,757",1768,ILUMINATI,RESTAURANTE,INTERNACIONAL,MODERNO,4827 4471,iluminatiresti@hotmail.com,,SANTA FE,2587,,SANTA FE AV. 2587,Recoleta,2,1425,C1425BGA
"-584,972,742","-345,535,058",2067,IMAGEN,RESTAURANTE,INTERNACIONAL,CLASICO PORTEÑO,4541 9066,,,BALBIN RICARDO DR.,4699,,"BALBIN, RICARDO, DR. AV. 4699",Saavedra,12,1430,C1430ABE
"-584,507,447","-345,573,489",513,IMAN,RESTAURANTE,CHINA,CHINA,4786 6875,,lunes a lunes de 12 a 15 y de 20 a 00.,ARRIBEÑOS,2186,,ARRIBEÑOS 2186,Belgrano,13,,
"-583,794,053","-346,024,938",2313,IN - OUT,RESTAURANTE,FAST FOOD,CLASICO PORTEÑO,,,lunes a domingo de 9 a 12,LAVALLE,894,,LAVALLE 894,San Nicolas,1,1047,C1047AAR
"-5,837,734","-346,170,482",2584,INDEPENDENCIA,BAR,MINUTAS,MODERNO,4300 7978,,lunes a sábado de 8 a 21,PIEDRAS,764,,PIEDRAS 764,San Telmo,1,1070,C1070AAP
"-583,742,899","-34,609,117",1414,INDIGO,CAFE,MINUTAS,MODERNO,4335 8907,,lunes a viernes de 11 a 20,YRIGOYEN HIPOLITO,561,,"YRIGOYEN, HIPOLITO 561",Monserrat,1,1086,C1086AAG
"-584,498,415","-345,808,303",589,INFRAGANTI,RESTAURANTE,ITALIANA,ITALIANA,4554 1100,,lunes a domingo de 9 al cierre,ALVAREZ THOMAS,499,,ALVAREZ THOMAS AV. 499,Colegiales,13,1427,C1427CCE
"-584,244,463","-345,891,181",218,IO TE AMASSO,RESTAURANTE,PIZZERIA,RUSTICA,4832 3111,,,MALABIA,1885,,MALABIA 1885,Palermo,14,1414,C1414DMK
"-583,765,733","-346,081,645",1157,IPANEMA,RESTAURANTE,,,,,,RIVADAVIA,706,,RIVADAVIA AV. 706,Monserrat,1,1002,C1002AAS
"-583,730,788","-345,973,777",2006,IRIFUNE,RESTAURANTE,JAPONESA,MODERNO,4312 8787,,,PARAGUAY,412,,PARAGUAY 412,Retiro,1,1057,C1057AAD
"-584,260,179","-346,137,648",635,IRUPE,CAFE,INTERNACIONAL,CLASICO PORTEÑO,4983 3362,,,RIVADAVIA,4300,,RIVADAVIA AV. 4300,Almagro,5,1205,C1205AAP
"-584,132,642","-345,804,026",219,ITAMAE,RESTAURANTE,JAPONESA,MODERNO,4807 5300,,,REPUBLICA ARABE-SIRIA,3045,,REPUBLICA ARABE SIRIA 3045,Palermo,14,1425,C1425EYK
"-58,429,913","-345,724,919",220,ITAMAE- SUSHI,RESTAURANTE,JAPONESA,MODERNO,4775 1800,,,ARGUIBEL ANDRES,2813,,"ARGUIBEL, ANDRES 2813",Palermo,14,1426,C1426DKA
"-583,861,223","-346,121,214",1415,J.D,CAFE,MINUTAS,CLASICO PORTEÑO,4381 5118,,,SAN JOSE,300,,SAN JOSE 300,Monserrat,1,1076,C1076AAF
"-584,377,044","-345,837,341",221,JA!,RESTAURANTE,,,,,,BONPLAND,1657,,BONPLAND 1657,Palermo,14,1414,C1414CMS
"-584,120,841","-345,809,137",222,JADE,RESTAURANTE,CHINA,,,,lunes a lunes de 12 a 15 y de 20 a 00.,UGARTECHE,3033,,UGARTECHE 3033,Palermo,14,1425,C1425EVE
"-584,248,935","-345,894,144",223,JANIO,RESTAURANTE,PORTEÃ‘A,MODERNO,4833 6540,www.janiorestaurant.com,,MALABIA,1805,,MALABIA 1805,Palermo,14,1414,C1414DMK
"-58,449,237","-345,678,805",590,JAPI,,ITALIANA,MODERNO,4787 3933,,,CABILDO,1308,,CABILDO AV. 1308,Colegiales,13,1426,C1426ABN
"-584,076,064","-345,745,052",225,JARDIN JAPONES RESTAURANTE,RESTAURANTE,JAPONESA,ORIENTAL,4804 4922,www.jardinjapones.restaurant.com.ar,,CASARES,0,ALCORTA,"CASARES AV. y FIGUEROA ALCORTA, PRES. AV.",Palermo,14,,
"-583,804,522","-34,612,684",1417,JARP'S,CAFE,INTERNACIONAL,MODERNO,4811 0040,,,IRIGOYEN BERNARDO de,378,,"IRIGOYEN, BERNARDO de 378",Monserrat,1,1072,C1072AAH
"-584,342,459","-346,190,744",1003,JARRITO,CAFE,TRADICIONAL,CLASICO PORTEÑO,,,,ROSARIO,400,,ROSARIO 400,Caballito,6,1424,C1424CCH
"-583,851,533","-346,041,316",2314,JEREMIAS,RESTAURANTE,INTERNACIONAL,,4371 5380,,lunes a viernes de 8 a 19,TALCAHUANO,394,,TALCAHUANO 394,San Nicolas,1,1013,C1013AAH
"-584,081,023","-345,981,571",783,JETRO,RESTAURANTE,PIZZERIA,MODERNO,4966 1400,,,CORDOBA,2900,,CORDOBA AV. 2900,Balvanera,3,1187,C1187AAP
"-584,406,783","-345,981,261",2674,JIMBO,,INTERNACIONAL,MODERNO,4854 0309,,,CORRIENTES,5400,,CORRIENTES AV. 5400,Villa Crespo,15,1414,C1414AJT
"-583,717,192","-346,207,137",2586,JOAN BAR,BAR,INTERNACIONAL,,4361 2666,joanbar@tutopia.com,,HUMBERTO 1º,420,,HUMBERTO 1º 420,San Telmo,1,,
"-583,858,812","-34,588,191",1770,JOAN COLL POSADAS,RESTAURANTE,,,4811 7900,,lunes a sábado de 12 a 15 y de 20 a 00,POSADAS,1387,,POSADAS 1387,Recoleta,2,1011,C1011ABG
"-584,710,693","-346,309,874",1160,JOAN PUB GENESIS IV,RESTAURANTE,,,,,,RIVADAVIA,7493,,RIVADAVIA AV. 7493,Flores,7,1406,C1406GME
"-584,065,142","-345,906,786",1771,JOBS BAR,PUB,,MODERNO,4822 9391,www.jobsbar.com.ar,,ARENALES,2932,,ARENALES 2932,Recoleta,2,1425,C1425BEJ
"-583,894,737","-346,035,217",2315,JOSE ANTONIO,BAR,MINUTAS,,4374 4840,,lunes a domingo de 7.30 a 20,MONTEVIDEO,462,,MONTEVIDEO 462,San Nicolas,1,1019,C1019ABJ
"-583,730,182","-346,020,455",2317,JUAN Y JUAN,BAR,INTERNACIONAL,,4394 4111,,,LAVALLE,441,,LAVALLE 441,San Nicolas,1,1047,C1047AAI
"-584,605,582","-345,451,888",1506,JUAN Y JUAN,RESTAURANTE,,,,,,LARRALDE CRISOLOGO,1602,,"LARRALDE, CRISOLOGO AV. 1602",NuÑes,13,1429,C1429BST
"-583,811,223","-345,902,648",2007,JUANA M,RESTAURANTE,TRADICIONAL,MODERNO,4326 0462,juanam@fibertel.com,lunes a domingo de 20 a 1,PELLEGRINI CARLOS,1535,,"PELLEGRINI, CARLOS 1535",Retiro,1,1011,C1011AAE
"-583,654,439","-346,203,184",1608,JUMP BACK,RESTAURANTE,AMERICANA,AMERICANO,4312 8553,info@jumback.com.ar,,MOREAU DE JUSTO ALICIA,1808,,"MOREAU DE JUSTO, ALICIA AV. 1808",Puerto Madero,1,1107,C1107AFL
"-584,567,938","-345,675,815",514,JUNGLA MAGICA,RESTAURANTE,PORTEÃ‘A,MODERNO,4706 1860,,,HERNANDEZ JOSE,2753,,"HERNANDEZ, JOSE 2753",Belgrano,13,1426,C1426EOW
"-583,972,887","-345,953,157",1773,JUNIN,PUB,PORTEÃ‘A,CLASICO PORTEÑO,4827 5366,,,JUNIN,1115,,JUNIN 1115,Recoleta,2,1113,C1113AAG
"-583,983,078","-346,034,413",784,JUSTINA,CAFE,,,,,,URIBURU,497,,"URIBURU JOSE E., Pres. 497",Balvanera,3,1027,C1027AAI
"-584,231,818","-346,439,747",1485,KANTUKA,RESTAURANTE,BOLIVIANA,,,,,FOURNIER,2445,,FOURNIER 2445,Nueva Pompeya,4,1437,C1437DCG
"-584,359,526","-346,132,435",1006,KARILI,CAFE,MINUTAS,ANTIGUO,4983 3369,,,AVELLANEDA,399,,AVELLANEDA 399,Caballito,6,1405,C1405CND
"-584,703,545","-345,647,038",1087,KASS,RESTAURANTE,MINUTAS,CLASICO PORTEÑO,4542 1625,,,MONROE,3495,,MONROE AV. 3495,Coghlan,12,1430,C1430BKB
"-584,166,333","-345,977,536",1772,"KATMANDU, INDIA",RESTAURANTE,TAPAS,INDIA,4963 1122,katmandu_arg@hotmail.com,lunes a viernes de 19.30 a 00 - sábado de 19.30 a 1,CORDOBA,3547,,CORDOBA AV. 3547,Palermo,14,1188,C1188AAB
"-583,674,711","-34,600,006",1610,KATRINE,RESTAURANTE,MEDITERRANEA,CLASICO PORTEÑO,4315 6222,,,MOREAU DE JUSTO ALICIA,138,,"MOREAU DE JUSTO, ALICIA AV. 138",Puerto Madero,1,1107,C1107AAD
"-584,680,932","-345,567,482",1504,KEANU,RESTAURANTE,MINUTAS,MODERNO,4544 2760,,,CRAMER,3001,,CRAMER AV. 3001,NuÑes,13,1429,C1429AJC
"-583,811,192","-346,003,286",2316,KEFREN,RESTAURANTE,INTERNACIONAL,CLASICO PORTEÑO,4328 8878,,lunes a sábado de 7 a 00,PELLEGRINI CARLOS,699,,"PELLEGRINI, CARLOS 699",San Nicolas,1,1009,C1009ABM
"-58,402,715","-345,888,734",1774,KELLER'S,RESTAURANTE,SANDWICHERIA,MODERNO,4821 4192,,lunes a sábado de 7 a 00,FRENCH,2762,,FRENCH 2762,Recoleta,2,1425,C1425AWF
"-584,254,318","-345,786,619",226,KENTOCKY,RESTAURANTE,PIZZERIA,CLASICO PORTEÑO,4773 7869,,,SANTA FE,4602,,SANTA FE AV. 4602,Palermo,14,1425,C1425BHV
"-584,842,897","-3,457,578",2822,Kentucky,RESTAURANTE,PIZZERIA,MODERNO,4523-6400 / 6226,,,Triunvirato,4500,,TRIUNVIRATO AV. 4500,Villa Urquiza,12,1431,C1431FBU
"-584,505,455","-345,583,696",515,KENZO CAFE,RESTAURANTE,MINUTAS,CLASICO PORTEÑO,4783 1074,,,JURAMENTO,1717,,JURAMENTO AV. 1717,Belgrano,13,1428,C1428DNA
"-583,729,422","-34,596,129",2008,KILKENNY,RESTAURANTE,MINUTAS,CLASICO PORTEÑO,4312 7291,,lunes a viernes de 17.30 a 00.30 - sábado y domingo de 20 a 6,ALVEAR MARCELO T. De,399,,"ALVEAR, MARCELO T. De 399",Retiro,1,1058,C1058AAA
"-583,918,834","-346,182,541",2086,KING SAO,,MINUTAS,CLASICO PORTEÑO,,,,INDEPENDENCIA,1802,,INDEPENDENCIA AV. 1802,San Cristobal,3,1225,C1225AAN
"-584,529,831","-345,665,554",591,KITAYAMA,,JAPONESA,JAPONESA,4783 3439,,,PINO Virrey del,2448,,"PINO, Virrey del 2448",Colegiales,13,1426,C1426EGR
"-584,822,373","-345,566,072",2070,KLASS,RESTAURANTE,TRADICIONAL,MODERNO,4541 8256,,,LARRALDE CRISOLOGO,3991,,"LARRALDE, CRISOLOGO AV. 3991",Saavedra,12,1430,C1430AIK
"-58,395,462","-345,912,994",1775,KOSOKA CLUB LIBANES,RESTAURANTE,INTERNACIONAL,,,,,JUNIN,1462,,JUNIN 1462,Recoleta,2,1113,C1113AAN
"-584,246,634","-34,589,262",227,KRISHNA,RESTAURANTE,VEGETARIANA,INDIA,4833 4618,,,MALABIA,1833,,MALABIA 1833,Palermo,14,1414,C1414DMK
"-583,948,703","-346,128,561",785,KULI,BAR,,,,,,MORENO,2001,,MORENO 2001,Balvanera,3,1094,C1094ABE
"-584,128,527","-345,801,231",228,KUNST,RESTAURANTE,PIZZERIA,MODERNO,4806 3117,,,CABELLO,3772,,CABELLO 3772,Palermo,14,1425,C1425APP
"-584,924,636","-346,316,026",2640,L' ABUFFATTA,RESTAURANTE,MINUTAS,MODERNO,4674 1458,,,ARANGUREN JUAN F. Dr.,4602,,"ARANGUREN, JUAN F., Dr. 4602",Velez Sarsfield,10,1407,C1407EMB
"-583,921,198","-346,081,935",295,L'AIGLON,RESTAURANTE,TRADICIONAL,ANTIGUO,4951 7980,,,CALLAO,98,,CALLAO AV. 98,Balvanera,3,1022,C1022AAN
"-583,936,693","-345,919,193",1776,L'ECOLE,RESTAURANTE,,,,,,PACHECO DE MELO JOSE ANDRES,1887,,"PACHECO DE MELO, JOSE ANDRES 1887",Recoleta,2,1126,C1126AAA
"-583,923,502","-346,049,025",787,LA ACADEMIA,SANDWICHERIA,CLASICO PORTEÃ‘O,,4372 2765,,,CALLAO,368,,CALLAO AV. 368,Balvanera,3,1022,C1022AAQ
"-583,952,826","-346,059,031",786,LA ALAMBRA,RESTAURANTE,MINUTAS,,4953 7126,,,SARMIENTO,2002,,SARMIENTO 2002,Balvanera,3,1044,C1044AAF
"-585,126,718","-34,603,055",2711,LA ALDEA,RESTAURANTE,TRADICIONAL,ANTIGUO,4502 6003,,,GUTIERREZ RICARDO,4224,,"GUTIERREZ, RICARDO 4224",Villa Devoto,11,1419,C1419IGJ
"-584,231,454","-34,583,607",232,LA ALHAMBRA,RESTAURANTE,,,,,,CHARCAS,4301,,CHARCAS 4301,Palermo,14,1425,C1425BNK
"-584,231,901","-345,835,735",229,LA ALHAMBRA,RESTAURANTE,,,,,,CHARCAS,4309,,CHARCAS 4309,Palermo,14,1425,C1425BNK
"-583,919,184","-346,082,476",2318,LA AMERICANA,RESTAURANTE,INTERNACIONAL,,4371 0202,,,CALLAO,83,,CALLAO AV. 83,San Nicolas,1,1022,C1022AAA
"-583,830,203","-346,159,382",1416,LA AMISTAD,RESTAURANTE,MINUTAS,CLASICO PORTEÑO,4382 9546,,,SALTA,654,,SALTA 654,Monserrat,1,1074,C1074AAN
"-583,855,492","-346,284,453",1110,LA AMISTAD,RESTAURANTE,MINUTAS,CLASICO PORTEÑO,4306 4717,,,BRASIL,1400,,BRASIL 1400,Constitucion,1,1154,C1154AAX
"-584,892,006","-346,494,077",1527,LA ANTIGUA MARECHARE,RESTAURANTE,PIZZERIA,CLASICO PORTEÑO,,,lunes a lunes de 8 a 00,DIRECTORIO,4792,,DIRECTORIO AV. 4792,Parque Avellaneda,9,1407,C1407HGU
"-583,785,689","-346,089,344",1418,LA ARGENTINA,RESTAURANTE,INTERNACIONAL,ANTIGUO,4342 0078,,,DE MAYO,860,,DE MAYO AV. 860,Monserrat,1,1084,C1084AAQ
"-584,907,955","-345,608,164",2068,LA BA-GO,CAFE,,MODERNO,4545 6172,,,LARRALDE CRISOLOGO,4896,,"LARRALDE, CRISOLOGO AV. 4896",Saavedra,12,1431,C1431APD
"-583,767,276","-346,025,615",2319,LA BAGUETTE,BAR,SANDWICHERIA,MODERNO,4326 9300,,,MAIPU,484,,MAIPU 484,San Nicolas,1,1006,C1006ACD
"-584,309,562","-345,880,083",230,LA BAITA,RESTAURANTE,ITALIANA,ITALIANA,4832 7234,,martes a domingo de 12.30 al cierre,THAMES,1603,,THAMES 1603,Palermo,14,1414,C1414DDG
"-58,401,902","-346,099,731",788,LA BAMBA,BAR,TRADICIONAL,MODERNO,4952 0789,,,RIVADAVIA,2502,,RIVADAVIA AV. 2502,Balvanera,3,1034,C1034ACR
"-584,302,561","-346,253,725",1007,LA BAMBULA,RESTAURANTE,INTERNACIONAL,,,,,GOYENA PEDRO,201,,"GOYENA, PEDRO AV. 201",Caballito,6,1424,C1424BSC
"-583,731,836","-346,391,337",912,LA BANANA,,MINUTAS,CLASICO PORTEÑO,4301 0932,bonacarte@yahoo.com.ar,,ISABEL LA CATOLICA,752,,ISABEL LA CATOLICA 752,Barracas,4,1268,C1268ACP
"-583,723,793","-346,038,907",2320,LA BANCA,BAR,,,4326 6646,,,RECONQUISTA,335,,RECONQUISTA 335,San Nicolas,1,1003,C1003ABG
"-583,922,263","-346,104,072",789,LA BANCADA,CAFE,TRADICIONAL,MODERNO,4375 0017,,,YRIGOYEN HIPOLITO,1802,,"YRIGOYEN, HIPOLITO 1802",Balvanera,3,1089,C1089AAJ
"-58,397,769","-346,059,712",790,LA BANDA BAR,CAFE,TRADICIONAL,MODERNO,4952 8792,,,SARMIENTO,2187,,SARMIENTO 2187,Balvanera,3,1044,C1044AAG
"-583,711,149","-346,033,586",2321,LA BARCA,CAFE,FAST FOOD,MODERNO,4328 3486,celesteyclaudio@yahoo.com.ar,,25 DE MAYO,376,,25 DE MAYO 376,San Nicolas,1,1002,C1002ABH
